id_loja,nome_fantasia,endereco,id_cidade,id_categoria_loja,id_rede
79,Guerra,"Distrito de Leão, 66",130,1,6
80,Farias S/A,"Passarela Isaque Costa, 5",41,2,15
81,Freitas,Parque Eduardo Fonseca,236,1,10
82,Sá,"Ladeira Caldeira, 5",248,1,9
83,da Cruz da Mata - ME,"Estrada Evelyn Viana, 70",119,1,6
84,Silveira Barros S/A,"Praia João Guilherme Ramos, 17",56,2,15
85,Cavalcante Melo - ME,"Lagoa Thomas Sousa, 46",43,1,11
86,Mendes,"Passarela de Campos, 22",161,1,8
87,Montenegro Monteiro - EI,"Loteamento Manuella Lima, 48",123,1,6
88,Borges Cavalcanti Ltda.,"Largo da Costa, 44",242,2,9
89,Souza - ME,"Rua Otto Garcia, 15",85,1,13
90,da Mota,"Conjunto Milena Moura, 51",78,3,7
91,Gomes Guerra e Filhos,"Lagoa Augusto Cardoso, 7",91,1,2
92,Pastor,"Campo Gonçalves, 477",94,3,5
93,Câmara S.A.,"Viela de Caldeira, 91",161,2,14
94,Abreu S.A.,"Área de Ramos, 52",115,2,3
95,Sampaio,"Colônia Barbosa, 48",173,1,7
96,da Luz,"Aeroporto de Albuquerque, 547",99,2,6
97,Ramos,"Recanto Moura, 48",211,2,6
98,Jesus e Filhos,"Avenida Augusto Correia, 26",202,3,4
99,da Conceição,"Núcleo Rafael Monteiro, 6",207,1,2
100,Fonseca,"Estrada Anthony Gabriel da Rocha, 813",128,2,9
101,das Neves Vargas S.A.,"Fazenda Vinícius Teixeira, 81",79,1,15
102,Câmara Mendonça - ME,"Trevo Casa Grande, 40",48,3,15
103,Peixoto S.A.,"Avenida Cirino, 67",50,2,13
104,Barros S.A.,"Estação Rezende, 570",199,1,3
105,Freitas,"Esplanada Henrique Abreu, 5",223,1,9
106,Ferreira - ME,Favela de Garcia,261,2,9
107,Vargas,"Praça Erick Aragão, 63",46,1,5
108,Correia,"Recanto Bento Pires, 73",203,3,2
109,Garcia S/A,"Avenida da Cunha, 61",241,3,10
110,da Mata,"Área de da Luz, 54",29,2,6
111,Silveira - EI,"Campo de Alves, 81",166,3,3
112,Vasconcelos,"Praça Marina Cardoso, 12",171,1,7
113,Sales,"Trevo da Costa, 85",150,1,6
114,Viana,"Chácara de Moraes, 36",134,1,9
115,Jesus Azevedo e Filhos,Sítio Yasmin Duarte,26,1,7
116,Lima Caldeira S/A,"Chácara de Costela, 7",257,2,8
117,Santos,"Fazenda Carvalho, 47",73,1,15
118,Vasconcelos Ltda.,"Travessa Vitor Gabriel Freitas, 44",216,2,9
119,da Cruz,"Feira Cassiano, 49",184,3,7
120,Azevedo,"Feira Natália Moura, 81",49,1,2
121,Caldeira S/A,"Praia Freitas, 5",34,2,11
122,Campos Aragão S.A.,"Estrada de Barbosa, 38",239,1,3
123,Pereira,"Aeroporto de Caldeira, 495",99,2,15
124,Freitas Ltda.,"Favela da Cunha, 4",119,1,2
125,Duarte - ME,"Estação Ana Lívia Barbosa, 80",255,2,11
126,Azevedo,"Passarela Ribeiro, 228",25,1,5
127,Gonçalves Sampaio Ltda.,"Viaduto Ana Liz Leão, 5",133,1,12
128,Leão,"Núcleo Ramos, 76",27,2,3
129,Abreu Lopes S.A.,"Chácara Guerra, 357",190,2,5
130,Albuquerque Aragão - EI,"Passarela de Borges, 995",201,3,12
131,Casa Grande Ferreira Ltda.,"Esplanada de Azevedo, 7",54,2,7
132,Sá,"Lagoa Cardoso, 8",247,1,2
133,Aragão,"Parque de Borges, 723",28,1,14
134,Melo Cirino - EI,"Passarela Moreira, 66",51,1,8
135,Cassiano S.A.,"Área Novais, 6",93,3,13
136,Gomes - EI,"Vereda de Vasconcelos, 56",255,1,14
137,Lima Gomes e Filhos,"Rodovia Luna Cavalcanti, 1",180,1,10
138,Martins,"Vale Maria Cecília Cavalcanti, 26",190,1,14
139,Cardoso Ltda.,"Chácara Luísa Montenegro, 300",172,3,11
140,Siqueira Ltda.,"Rodovia de Barros, 9",52,1,4
141,Rezende,"Alameda Azevedo, 313",12,3,1
142,da Paz,"Viela Viana, 61",56,2,12
143,Castro,"Ladeira de Marques, 94",41,1,5
144,Costela,"Vale Natália da Costa, 15",11,2,9
145,Cirino Guerra S.A.,"Viela Beatriz Garcia, 24",236,1,7
146,Porto Ltda.,"Sítio Raquel Pacheco, 5",145,1,3
147,Sousa,"Jardim Fernanda Freitas, 625",114,1,7
148,Macedo S.A.,"Avenida de da Rocha, 644",65,1,2
149,Souza S/A,"Lago Pimenta, 96",242,2,10
150,Aragão,"Fazenda Caleb Almeida, 1",209,3,3
151,da Rosa,Morro de Nascimento,160,1,6
152,Jesus Pacheco Ltda.,"Favela Fonseca, 372",75,1,2
153,da Cruz e Filhos,"Colônia Davi Lucas Porto, 74",160,1,6
154,Albuquerque,Sítio de Ferreira,179,1,2
155,Pereira,"Residencial de da Cruz, 10",111,1,4
156,Nascimento S/A,"Feira Castro, 2",162,2,13
157,Pimenta - EI,"Distrito Jesus, 98",51,2,14
158,Pimenta,"Lagoa de Azevedo, 80",12,1,15
159,Garcia - ME,"Chácara Marcela Cavalcanti, 51",148,2,12
160,Ramos Andrade S/A,"Vila de da Luz, 5",107,1,3
161,Rodrigues,"Jardim de da Rocha, 91",266,1,4
162,Cavalcante Ltda.,"Estrada de Castro, 73",110,1,7
163,Peixoto,"Vereda Stella Melo, 18",193,3,2
164,Lopes e Filhos,"Lagoa de Vieira, 26",87,3,4
165,Casa Grande Andrade S/A,Vale Castro,72,1,10
166,Casa Grande,"Alameda Aparecida, 20",209,1,11
167,Azevedo - EI,"Estrada Sophie Rios, 7",40,1,3
168,da Cruz S.A.,"Área Andrade, 5",17,2,6
169,Brito,"Via Costela, 65",55,2,8
170,da Luz,Jardim Alexia Aragão,153,1,10
171,Duarte,"Rodovia de Melo, 19",159,3,11
172,Alves,"Colônia de Ferreira, 90",189,3,15
173,Silva Borges - EI,"Esplanada Luiza Abreu, 134",117,1,5
174,Ferreira - ME,Vila Léo Monteiro,28,1,10
175,Moraes,"Esplanada de da Paz, 83",79,3,12
176,Camargo Porto S/A,"Sítio de Viana, 6",42,1,2
177,Brito,"Chácara Lavínia Ramos, 6",112,1,3
178,da Rosa da Luz - ME,"Esplanada de Garcia, 37",9,1,1
179,Ferreira - EI,"Distrito de Machado, 852",131,1,10
180,Sales,"Trecho Ravi Cardoso, 47",22,2,11
181,da Mata da Rosa e Filhos,"Distrito de Silveira, 63",141,3,15
182,Castro,"Estrada Valentim Siqueira, 3",98,2,12
183,Costa - ME,"Lagoa Siqueira, 56",174,1,9
184,Caldeira Porto S/A,"Parque Martins, 1",20,1,10
185,Vieira,"Fazenda de Montenegro, 17",38,2,9
186,da Cunha Pereira e Filhos,"Feira Lopes, 496",211,1,2
187,Rocha Cirino e Filhos,Praça Ana Sophia da Luz,71,1,11
188,Leão S.A.,"Vereda Levi da Cunha, 87",4,3,13
189,Pinto - ME,"Viaduto de Cirino, 70",38,3,13
190,Caldeira,Setor Pedro Henrique Castro,61,2,12
191,Moreira Ferreira S/A,"Quadra de Nogueira, 97",73,2,1
192,Porto Ltda.,"Pátio Maria Alice Costela, 96",143,1,15
193,Siqueira - EI,"Avenida de da Cunha, 76",240,2,15
194,Albuquerque S/A,"Vereda Clarice Pacheco, 41",186,1,4
195,Sousa,"Fazenda de Gonçalves, 33",1,3,2
196,Vasconcelos Azevedo e Filhos,"Via Rael Casa Grande, 86",154,1,9
197,Teixeira,"Conjunto de Vasconcelos, 45",156,1,13
198,Santos,"Jardim de Lima, 17",187,1,15
199,Fogaça,"Lagoa de Duarte, 77",216,1,1
200,Ribeiro Ltda.,"Parque Danilo Barros, 952",256,1,3
201,Porto,"Viaduto Albuquerque, 51",14,2,13
202,Pereira,Distrito de da Conceição,202,1,1
203,Vasconcelos Machado Ltda.,"Favela Guerra, 229",208,1,8
204,Costa,"Favela de Moura, 8",55,1,1
205,Novais S/A,"Fazenda João Lucas Melo, 18",39,1,1
206,Martins,"Residencial de da Cruz, 92",38,2,4
207,Castro Ltda.,"Travessa de Monteiro, 67",86,1,10
208,Leão,"Estação Porto, 10",70,2,15
209,Rodrigues e Filhos,"Rodovia Mendes, 12",212,2,6
210,Silva Leão e Filhos,"Colônia Emanuelly Fernandes, 98",184,2,1
211,da Paz Lopes Ltda.,"Sítio Cauã da Rocha, 85",145,1,1
212,Farias,"Rodovia Catarina Costela, 61",232,1,7
213,Dias Silva Ltda.,"Vereda de Borges, 7",265,2,13
214,Nogueira,"Passarela da Rosa, 1",216,1,1
215,Correia - ME,"Avenida de Viana, 789",214,3,5
216,Pires Rocha e Filhos,"Viela de Barros, 80",263,2,2
217,Brito Ribeiro S.A.,"Pátio Vasconcelos, 1",12,2,6
218,Carvalho,"Sítio Valentim da Rosa, 16",162,2,8
219,Almeida,"Via de Pacheco, 8",88,1,2
220,Campos - ME,"Passarela de Machado, 1",44,1,5
221,Peixoto,"Distrito de Melo, 28",158,2,7
222,Ramos - ME,"Vereda Albuquerque, 10",77,1,3
223,Borges S.A.,"Conjunto Melo, 5",255,2,7
224,Machado Siqueira e Filhos,"Núcleo Vasconcelos, 51",221,3,8
225,Marques,"Avenida Benício Albuquerque, 1",117,1,5
226,Gomes Ltda.,"Trevo de Cavalcante, 19",48,1,15
227,Freitas,"Praia de Melo, 22",225,3,14
228,Ramos,"Pátio de Mendes, 57",233,1,2
229,da Rocha,"Vale Rezende, 159",169,1,10
230,Peixoto das Neves - EI,"Parque Gomes, 49",47,1,3
231,da Paz,"Largo da Luz, 36",219,1,3
232,da Paz S.A.,"Distrito de da Mota, 975",142,3,6
233,Nogueira - EI,"Estrada Ravi Lucca das Neves, 806",119,1,1
234,da Cunha Pastor S/A,"Quadra Valentina Borges, 451",211,3,12
235,Pacheco,"Rua Aurora Mendes, 493",113,1,6
236,Correia Borges S.A.,"Lago de Fonseca, 795",109,1,4
237,da Cruz Aparecida - ME,"Núcleo Pires, 31",56,2,3
238,Peixoto,Ladeira Rafaela Pereira,105,1,9
239,Brito S/A,"Residencial de Pastor, 534",169,1,1
240,Brito,"Trevo de Cardoso, 60",99,3,15
241,Cirino Garcia S/A,Área Novais,93,2,3
242,Santos,"Campo Isabella Campos, 5",194,2,1
243,Nunes,"Chácara de Rios, 862",28,2,7
244,Freitas da Costa e Filhos,"Área da Cunha, 90",73,1,7
245,Aragão Ltda.,"Via de Teixeira, 20",96,2,3
246,Dias Sá S/A,"Lagoa de Pastor, 871",251,1,12
247,Freitas,"Condomínio Evelyn Mendes, 82",139,2,5
248,Casa Grande Rocha S/A,"Estrada de Andrade, 23",19,3,12
249,Souza,"Colônia Helena Almeida, 8",263,2,1
250,Duarte,"Recanto Camargo, 62",32,2,7
251,Sousa Araújo S.A.,"Sítio João Vitor Macedo, 74",183,1,9
252,da Cruz,"Ladeira Oliveira, 35",224,1,11
253,Mendonça,Quadra Maria Sophia Camargo,112,2,6
254,Moraes Araújo e Filhos,"Favela de Novais, 24",136,2,2
255,Sá,"Praça Vicente da Costa, 71",104,1,5
256,Leão,"Lago Casa Grande, 8",177,1,8
257,Moraes,"Aeroporto Sara da Paz, 75",96,1,8
258,Jesus S.A.,"Estação de Carvalho, 48",253,2,7
259,Costa Peixoto S/A,"Trevo Siqueira, 34",187,1,2
260,Carvalho Pimenta e Filhos,"Estrada de Pacheco, 13",132,1,7
261,Sales e Filhos,"Avenida Rafaela Ferreira, 84",51,2,5
262,Albuquerque - ME,"Conjunto Vitor da Cruz, 69",268,3,5
263,Castro e Filhos,"Trevo de Abreu, 88",168,3,4
264,Campos Ltda.,"Largo Vasconcelos, 19",203,1,11
265,Caldeira,"Praia Olivia Alves, 182",66,1,15
266,Borges Câmara - EI,"Colônia das Neves, 18",22,3,2
267,Brito e Filhos,"Jardim Almeida, 997",4,1,5
268,Sampaio Macedo S/A,"Estação Aparecida, 81",148,2,13
269,Pacheco,"Condomínio Joaquim Campos, 92",204,1,3
270,da Conceição Casa Grande e Filhos,"Passarela Lucas Almeida, 96",82,1,6
271,Gonçalves S/A,"Loteamento Isadora da Costa, 66",186,1,15
272,Novais,Rua Juan Rodrigues,173,3,7
273,da Cruz,"Viaduto Antônio Fonseca, 9",213,1,15
274,Azevedo Duarte - ME,"Viaduto de Almeida, 72",214,1,8
275,Vasconcelos,"Área de Aparecida, 5",90,1,10
276,Pires,"Vale Brito, 91",258,1,4
277,Lopes S.A.,Condomínio Ana Laura Ferreira,149,1,2
278,Campos Araújo - EI,"Chácara Maria Flor Pastor, 227",245,3,8
279,da Rocha Jesus - EI,"Feira Erick Sousa, 447",176,2,9
280,Costa,"Núcleo de Marques, 849",154,1,4
281,das Neves,Loteamento Câmara,45,1,7
282,Moraes Nogueira - ME,"Aeroporto Clarice Castro, 95",8,3,1
283,Mendonça,"Favela Ana Carolina Araújo, 3",269,1,14
284,Pereira Ltda.,"Avenida de Moreira, 67",180,3,1
285,Moreira S.A.,"Distrito de Leão, 35",130,1,7
286,Pimenta Pimenta Ltda.,"Colônia de Sousa, 34",146,1,2
287,Caldeira,Sítio Isaac Monteiro,70,1,9
288,Oliveira,"Ladeira Henry Garcia, 57",103,2,8
289,da Rocha,"Rua Hadassa Ramos, 80",3,1,11
290,Macedo,"Setor da Rosa, 76",16,1,1
291,Borges Farias Ltda.,"Feira de Duarte, 16",214,2,13
292,Aragão Ltda.,"Lagoa Stella Vasconcelos, 78",152,2,5
293,Gomes,"Área Clara Machado, 2",233,3,2
294,Brito Jesus Ltda.,"Via Leandro Correia, 77",105,1,2
295,Vargas,"Loteamento de Sales, 612",106,2,13
296,Fonseca,Rodovia Luiz Fernando Camargo,182,2,6
297,Sales,"Pátio de Pires, 58",151,1,13
298,Montenegro Correia - ME,"Vereda Nunes, 115",101,1,8
299,Albuquerque,"Lagoa Santos, 704",142,1,2
300,Pastor S/A,"Estrada Cavalcanti, 58",37,2,5
301,Oliveira Costa - ME,"Distrito Castro, 181",29,1,5
302,Barbosa S.A.,"Quadra Lorena Araújo, 6",228,1,10
303,Silva da Costa Ltda.,"Área da Mata, 2",100,1,14
304,Correia,"Parque de Almeida, 4",188,1,5
305,Pacheco,"Praia Aragão, 433",24,1,4
306,Castro - EI,"Largo Abreu, 74",234,2,3
307,Monteiro,Viela Gomes,63,2,12
308,Jesus das Neves - ME,"Alameda Ryan Borges, 62",2,2,6
309,Cirino,Passarela Eloá Camargo,2,1,7
310,Nascimento,"Loteamento Isis Rezende, 2",212,3,13
311,Ferreira,"Parque Correia, 64",123,1,4
312,Lopes Andrade Ltda.,"Loteamento Cassiano, 22",39,1,4
313,da Mata Nogueira S.A.,"Quadra Rhavi Castro, 45",220,1,6
314,Garcia,"Favela de da Rosa, 48",229,1,10
315,Machado Rocha S.A.,"Trevo Lunna Pastor, 48",94,1,13
316,Pereira,"Conjunto Sá, 9",43,1,3
317,Nogueira Ltda.,"Alameda João Vitor das Neves, 7",226,2,13
318,Sales S.A.,"Largo Correia, 2",231,2,11
319,Montenegro,"Estrada Davi Lucca Silva, 41",53,2,8
320,Cardoso,"Passarela de da Paz, 86",186,3,6
321,da Mota Cavalcanti S/A,"Viaduto de Sales, 16",42,1,5
322,da Cruz,"Morro Gael Henrique Cirino, 51",45,2,10
323,Silva Rocha S/A,"Trevo Castro, 53",258,2,13
324,Garcia Sousa S/A,"Vereda Luiz Henrique Nunes, 89",228,1,4
325,Lopes,"Travessa de Ferreira, 2",206,1,2
326,Aparecida,"Trevo de Sampaio, 4",47,1,4
327,Andrade Ltda.,"Chácara Lara Sales, 49",210,1,14
328,Moura,Praça Luísa Fernandes,183,3,8
329,Moraes,Vila de Costela,127,1,10
330,Rocha,"Residencial Teixeira, 90",196,1,5
331,Cavalcanti,"Vereda da Costa, 143",249,1,12
332,Fogaça Ferreira - ME,Vereda das Neves,142,1,5
333,Carvalho Rodrigues e Filhos,"Recanto de da Costa, 90",164,1,14
334,Carvalho,"Vila Ana Clara Carvalho, 49",128,3,4
335,Pires,"Sítio Lima, 82",163,1,14
336,Costela,Lago de Albuquerque,78,1,10
337,Mendonça,"Avenida da Mota, 23",218,1,5
338,Machado,Largo Macedo,197,2,5
339,Nunes,"Esplanada Diego Aparecida, 8",35,1,1
340,Barros,"Loteamento de Sousa, 841",140,2,13
341,Mendonça,"Largo de Albuquerque, 51",81,2,15
342,Rezende,"Conjunto Souza, 1",39,2,8
343,Casa Grande,"Estação Sara Rodrigues, 51",2,2,14
344,Garcia,"Morro de Dias, 35",53,2,2
345,da Cunha,"Área Caldeira, 460",156,2,6
346,Lima,"Esplanada de da Rosa, 391",178,2,3
347,Castro Carvalho - ME,"Chácara Bruno Macedo, 43",149,1,3
348,Abreu,Rodovia de Lima,195,1,13
349,da Paz Barbosa e Filhos,Pátio de Fernandes,111,1,10
350,Macedo S/A,"Esplanada Garcia, 80",227,2,3
351,Nunes,"Chácara Vitória Duarte, 976",52,2,12
352,Guerra Pereira - EI,Viela Farias,111,1,6
353,Nunes,"Núcleo Maria Luísa Ribeiro, 64",259,3,14
354,Correia S.A.,"Praia de Sales, 3",252,2,1
355,Novais,"Núcleo Sofia da Costa, 576",228,2,6
356,da Conceição S.A.,"Condomínio de Câmara, 41",59,3,2
357,Santos,"Sítio Marques, 28",253,1,13
358,Jesus e Filhos,Conjunto Milena Novaes,202,1,9
359,Pires e Filhos,"Quadra Rodrigues, 38",26,2,6
360,Nunes Melo S/A,"Vale Danilo Guerra, 60",55,2,2
361,Albuquerque e Filhos,"Quadra da Rosa, 3",230,1,10
362,Borges,"Travessa Camargo, 62",264,1,9
363,Teixeira,"Aeroporto de da Cunha, 4",268,1,15
364,Moraes,"Morro de Silveira, 60",259,1,9
365,Fogaça - EI,"Condomínio de Andrade, 64",151,1,11
366,Sales Machado S/A,"Praia de Camargo, 8",59,2,9
367,Barbosa Ltda.,"Sítio da Rocha, 52",67,1,11
368,Macedo,Loteamento Cassiano,48,3,6
369,Montenegro,"Área Barbosa, 79",74,1,1
370,Castro,"Passarela Raul Pimenta, 615",118,1,15
371,das Neves Cardoso - EI,"Favela Cavalcante, 67",100,2,7
372,Gomes,"Aeroporto Bruna Pacheco, 45",125,3,3
373,da Cruz - ME,"Vereda Casa Grande, 74",216,1,14
374,Azevedo,"Morro Sarah Pacheco, 90",26,2,4
375,Costa - ME,"Vereda de Brito, 44",92,3,2
376,Rodrigues Barbosa Ltda.,"Núcleo Nicole Porto, 95",201,1,3
377,Farias,Loteamento de Rios,138,3,13
378,Viana,"Núcleo de da Cruz, 35",261,2,12
379,Costela Abreu e Filhos,"Praia Isabela Nunes, 22",165,3,15
380,da Rosa Silveira Ltda.,"Travessa de Novaes, 41",231,1,9
381,Pacheco S.A.,"Morro de Martins, 26",210,1,7
382,Dias,"Jardim Zoe Almeida, 44",67,3,5
383,Cunha S/A,"Estrada Alexia Montenegro, 4",29,1,7
384,Siqueira Araújo S.A.,"Chácara Barbosa, 152",204,1,1
385,da Mata Nascimento e Filhos,Largo de Alves,57,2,1
386,Duarte Duarte e Filhos,Residencial de Guerra,58,1,5
387,Cavalcanti,Área Erick Pires,189,1,14
388,Vasconcelos,"Passarela de da Cunha, 10",5,3,13
389,Nunes,"Avenida Kamilly Pimenta, 22",7,1,1
390,Cassiano S.A.,"Chácara de Fogaça, 66",241,3,4
391,Ribeiro Pereira - EI,"Vale da Luz, 50",239,2,11
392,Novais,"Rua Sofia da Mota, 14",23,2,10
393,Brito,"Distrito Rafael Guerra, 1",240,1,11
394,Campos Araújo - EI,"Sítio Vasconcelos, 64",258,3,4
395,Cavalcanti Sousa S.A.,"Morro Vasconcelos, 87",187,1,7
396,Porto Ferreira - ME,"Largo Vieira, 2",112,1,3
397,Azevedo e Filhos,"Morro de Araújo, 79",36,1,12
398,Garcia,"Fazenda de Alves, 50",43,1,10
399,da Costa,"Favela Aylla Teixeira, 54",115,1,14
400,Cunha,"Recanto Vargas, 52",185,3,6
401,Borges,"Residencial da Cruz, 85",144,3,4
402,Pacheco Aragão S.A.,"Núcleo de Aparecida, 72",143,1,11
403,da Rosa Rodrigues S/A,"Distrito Albuquerque, 34",137,2,2
404,Brito,"Quadra Rodrigues, 71",58,1,1
405,Ramos,"Passarela de Farias, 4",198,1,11
406,Vieira Pires e Filhos,Conjunto Montenegro,10,3,10
407,Oliveira Lopes e Filhos,Alameda de Aragão,119,1,6
408,Azevedo,Residencial Carvalho,42,2,4
409,Abreu,"Viela Nogueira, 98",35,1,15
410,Moura Ltda.,"Campo Cecília Cunha, 51",265,1,2
411,Albuquerque da Luz Ltda.,Estrada Moraes,21,1,5
412,Jesus - EI,"Aeroporto Aylla Sales, 8",242,2,5
413,Novaes,"Pátio de Souza, 76",122,1,2
414,Nogueira,"Distrito Hellena Teixeira, 36",116,2,1
415,da Costa - EI,"Vila Gabriela da Costa, 21",249,1,11
416,Silva S/A,"Sítio de Duarte, 68",125,1,1
417,Oliveira,Via Maria Isis Moraes,248,1,1
418,Pastor,"Feira Gabriela Fogaça, 7",89,1,1
419,Pimenta,"Largo de Barbosa, 539",221,1,4
420,Melo,"Morro de Moreira, 479",191,2,10
421,Azevedo Sá - EI,"Favela de Moura, 45",40,1,15
422,Cassiano Ribeiro - ME,"Via de Aparecida, 66",261,1,5
423,Campos,"Vila da Cunha, 61",206,1,5
424,Ribeiro,"Rua de da Rosa, 51",131,3,1
425,da Rocha,"Condomínio de Machado, 92",123,1,7
426,Abreu Rodrigues S.A.,"Rua Renan Pinto, 68",96,1,10
427,da Cunha,Estrada de Abreu,262,1,13
428,Araújo,"Lagoa Silva, 545",181,1,13
429,da Luz Macedo S/A,"Residencial de Borges, 72",147,3,6
430,Pinto,"Área Luísa Garcia, 50",48,1,15
431,Lopes,"Jardim de Fogaça, 36",147,3,12
432,Silva Pacheco Ltda.,Favela de Farias,90,1,1
433,Barros - ME,"Rua Kamilly Monteiro, 2",183,1,6
434,Martins,"Pátio Maria Júlia Cavalcanti, 8",135,1,13
435,Mendonça,"Aeroporto de Rios, 73",218,2,11
436,Rodrigues Ltda.,"Parque Maria Clara Campos, 4",237,2,13
437,Oliveira S/A,Chácara Pedro Nunes,263,3,7
438,Araújo,"Estrada de Silva, 17",92,2,2
439,Pacheco,"Avenida João Vitor Duarte, 93",192,3,5
440,Cirino - EI,"Jardim de Borges, 56",254,3,8
441,Novais,"Pátio de Rodrigues, 5",29,2,14
442,da Cruz,"Praça Valentina da Cunha, 33",80,1,13
443,Costela - EI,"Quadra Mariana Santos, 625",204,1,6
444,Marques Santos - EI,"Largo Albuquerque, 616",200,1,9
445,da Mota S.A.,"Lago Murilo Santos, 89",230,2,6
446,Siqueira,"Favela Araújo, 26",67,1,12
447,Carvalho S/A,"Residencial de Cirino, 9",121,1,1
448,Monteiro Câmara e Filhos,"Lago de Cunha, 422",133,2,4
449,Martins S/A,"Avenida Leão, 84",264,1,12
450,Cassiano,"Vila Carvalho, 3",140,1,4
451,da Rocha,"Trecho Dias, 524",35,3,3
452,Novaes,"Distrito Rios, 16",258,2,2
