id_cidade,cidade,uf
99,TELEMACO BORBA,PR
100,UNIÃO DA VITÓRIA,PR
101,VILA SANTA TEREZINHA,PR
102,ILHA DO GOVERNADOR,RJ
103,MESQUITA,RJ
104,NOVA IGUAÇU,RJ
105,RESENDE,RJ
106,RIO DE JANEIRO,RJ
107,SAO JOAO DE MERITI,RJ
108,SÃO GONÇALO,RJ
109,SÃO JOÃO DE MERITI,RJ
110,ARACAJU,RN
111,ITABAIANA,RN
112,NÃO INFORMADO,RN
113,OLINDA,RN
114,ARACAJU,RO
115,BELEM,RO
116,NÃO INFORMADO,RR
117,ALVORADA,RS
118,BAGÉ,RS
119,BENTO GONÇALVES,RS
120,CACHOEIRA DO SUL,RS
121,CACHOEIRINHA,RS
122,CAMPO BOM,RS
123,CANOAS,RS
124,CAPÃO DA CANOA,RS
125,CAXIAS DO SUL,RS
126,CAXIAS DO SUL ,RS
127,CENTRO,RS
128,ERECHIM,RS
129,ESTEIO,RS
130,FARROUPILHA ,RS
131,GRAVATAÍ,RS
132,IMBÉ,RS
133,LAJEADO,RS
134,MONTENEGRO,RS
135,NOVO HAMBURGO,RS
136,PAROBÉ,RS
137,PASSO FUNDO,RS
138,PELOTAS,RS
139,PELOTAS ,RS
140,PORTO ALEGRE,RS
141,RIO GRANDE,RS
142,SANTA CRUZ,RS
143,SANTA CRUZ DO SUL,RS
144,SANTA CRUZ DO SUL ,RS
145,SANTA MARIA,RS
146,SANTANA DO LIVRAMENTO,RS
147,SAPIRANGA,RS
148,SOLEDADE,RS
149,TEUTÔNIA,RS
150,TORRES,RS
151,TRAMANDAÍ,RS
152,URUGUAIANA,RS
153,VENÂNCIO AIRES,RS
154,VIAMÃO,RS
155,ARAQUARI,SC
156,ARARANGUÁ,SC
157,BALNEÁRIO ARROIO DO SILVA,SC
158,BALNEÁRIO CAMBORIÚ,SC
159,BALNEÁRIO CAMBORIÚ ,SC
160,BALNEÁRIO PIÇARRAS,SC
161,BIGUACU,SC
162,BLUMENAU,SC
163,BOMBINHAS,SC
164,BRACO DO NORTE,SC
165,BRAÇO DO NORTE,SC
166,BRUSQUE,SC
167,CAMBORIÚ,SC
168,CAMPOS NOVOS SC,SC
169,CANELINHA,SC
170,CAPINZAL,SC
171,CAPIVARI DE BAIXO,SC
172,CATANDUVAS,SC
173,CAÇADOR,SC
174,CAÇADOR ,SC
175,CHAPECÓ,SC
176,COCAL DO SUL,SC
177,CONCÓRDIA,SC
178,CORONEL FREITAS,SC
179,CRICIÚMA,SC
180,CURITIBANOS,SC
181,FAXINAL DOS GUEDES,SC
182,FLORIANOPOLIS,SC
183,FLORIANÓPOLIS,SC
184,FORQUILHINHA,SC
185,FRAIBURGO,SC
186,GAROPABA,SC
187,GASPAR,SC
188,GOVERNADOR CELSO RAMOS,SC
189,GUABIRUBA,SC
190,GUARAMIRIM,SC
191,HERVAL DOESTE,SC
192,INDAIAL,SC
193,IRANI,SC
194,ITAJAÍ,SC
195,ITAPEMA,SC
196,IÇARA,SC
197,JAGUARUNA,SC
198,JARAGUÁ DO SUL,SC
199,JOAÇABA,SC
200,JOINVILLE,SC
201,LAGES,SC
202,LAGUNA,SC
203,LAURENTINO,SC
204,LAURO MÜLLER,SC
205,LONTRAS,SC
206,LUZERNA,SC
207,MARAVILHA,SC
208,NAVEGANTES,SC
209,ORLEANS,SC
210,PALHOÇA,SC
211,PENHA,SC
212,PINHALZINHO,SC
213,PINHALZINHO ,SC
214,POMERODE,SC
215,PORTO BELO,SC
216,PORTO UNIÃO,SC
217,PRESIDENTE GETÚLIO,SC
218,RIO DO SUL,SC
219,RIO DOS CEDROS,SC
220,RIO NEGRINHO,SC
221,RIO NEGRO,SC
222,RODEIO,SC
223,SANGÃO,SC
224,SANTA CATARINA,SC
225,SANTA TEREZINHA,SC
226,SEARA,SC
227,SOMBRIO,SC
228,S]AO BENTO DO SUL,SC
229,SÃO BENTO DO SUL,SC
230,SÃO FRANCISCO DO SUL,SC
231,SÃO JOSÉ,SC
232,SÃO JOÃO BATISTA,SC
233,SÃO LOURENÇO DO OESTE,SC
234,SÃO MIGUEL DO OESTE,SC
235,TIJUCAS,SC
236,TIMBÓ,SC
237,TREZE DE MAIO,SC
238,TREZE TÍLIAS,SC
239,TUBARAO,SC
240,TUBARÃO,SC
241,VARGEÃO,SC
242,VIDEIRA,SC
243,XANXERÊ,SC
244,XAXIM,SC
245,ARACAJU,SE
246,ITABAIANA,SE
247,NOSSA SENHORA DA GLORIA,SE
248,NOSSA SRA DA GLÓRIA,SE
249,SALVADOR,SE
250,CAMPINAS,SP
251,CARAPICUIBA,SP
252,CIDADE DUTRA,SP
253,GUAIANASES,SP
254,GUARULHOS,SP
255,ITAQUAQUECETUBA,SP
256,MAUÁ,SP
257,MOGI DAS CRUZES,SP
258,NÃO INFORMADO,SP
259,OSASCO,SP
260,PALHEIROS,SP
261,SANTO ANDRE,SP
262,SANTO ANDRÉ,SP
263,SAO JOSE DOS CAMPOS,SP
264,SUZANO,SP
265,SÃO JOSÉ DOS CAMPOS,SP
266,SÃO PAULO,SP
267,SÃO PAULO - SP,SP
268,LAURO DE FREITAS,TO
269,SALVADOR,TO
